player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur
Thilo Kehrer,Schalke 04,20.0,DF,2365.0,3.0,0.0,,18.0
Cheick Keita,Bologna,21.0,DF,127.0,0.0,0.0,,1.0
Emil Krafth,Bologna,22.0,DF,946.0,0.0,0.0,,1.5
Marc Bartra,Betis,26.0,DF,1419.0,1.0,0.0,,17.5
Adam Masina,Bologna,23.0,DF,2830.0,0.0,1.0,,7.0
Ibrahima Mbaye,Bologna,22.0,DF,1760.0,1.0,0.0,,3.3
Antonio Mirante,Bologna,34.0,GK,2970.0,0.0,0.0,,1.0
Ádám Nagy,Bologna,22.0,MF,711.0,1.0,0.0,,2.8
Orji Okwonkwo,Bologna,19.0,"MF,FW",265.0,3.0,0.0,,1.0
Riccardo Orsolini,Bologna,20.0,"FW,DF",341.0,0.0,1.0,,3.5
Rodrigo Palacio,Bologna,35.0,"FW,MF",2065.0,4.0,2.0,,0.07
Marcel Sabitzer,RB Leipzig,23.0,"MF,FW",1790.0,3.0,5.0,,25.0
Erick Pulgar,Bologna,23.0,MF,2770.0,3.0,0.0,,6.0
Marc Bartra,Dortmund,26.0,DF,807.0,2.0,1.0,,17.5
Antonio Santurro,Bologna,25.0,GK,90.0,0.0,0.0,,0.02
Simone Verdi,Bologna,25.0,"FW,MF",2827.0,10.0,8.0,,25.0
Diego Llorente,Real Sociedad,23.0,DF,2324.0,3.0,1.0,,17.5
Martin Braithwaite,Bordeaux,26.0,FW,916.0,4.0,1.0,,8.0
Diego Contento,Bordeaux,27.0,"DF,FW",108.0,0.0,0.0,,1.5
Benoît Costil,Bordeaux,30.0,GK,3240.0,0.0,0.0,,6.5
François Kamano,Bordeaux,21.0,"FW,MF",2015.0,8.0,4.0,,7.0
Nico Elvedi,M'Gladbach,20.0,DF,2914.0,2.0,2.0,,17.0
Gaëtan Laborde,Bordeaux,23.0,FW,957.0,3.0,0.0,,4.0
Dennis Praet,Sampdoria,23.0,MF,2657.0,1.0,3.0,,25.0
Laurent Koscielny,Arsenal,31.0,DF,2225.0,2.0,0.0,,15.0
Malcom,Bordeaux,20.0,"FW,MF",2856.0,12.0,7.0,,45.0
João Mário,West Ham,24.0,"MF,FW",1022.0,2.0,1.0,,25.0
Alexandre Mendy,Bordeaux,23.0,"FW,MF",799.0,4.0,0.0,,2.5
Otávio,Bordeaux,23.0,MF,1484.0,0.0,0.0,,6.5
